,Table 5. Gender Inequality Index,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,SDG3.1,,SDG3.7,,SDG5.5,,SDG4.6,,,,,,,
,,Gender Inequality Index,,,,Maternal mortality ratio,,Adolescent birth rate,,Share of seats in parliament,,Population with at least some secondary education,,,,Labour force participation rate ,,,a
,,Value,,Rank,,"(deaths per 100,000 live births)",,"(births per 1,000 women ages 15–19)",,(% held by women),,(% ages 25 and older),,,,(% ages 15 and older),,,
HDI rank,Country,,,,,,,,,,,Female,,Male,,Female,,Male,
,,2017,,2017,,2015,,2015-2020,b,2017,,2010–2017,c,2010–2017,c,2017,,2017,
,VERY HIGH HUMAN DEVELOPMENT,,,,,,,,,,,,,,,,,,
1,Norway,0.048,,5,,5,,5.6,,41.4,,96.3,,95.1,,60.8,,67.6,
2,Switzerland,0.039,,1,,5,,3.0,,29.3,,96.4,,97.2,,62.9,,74.1,
3,Australia,0.109,,23,,6,,12.9,,32.7,,90.0,,89.9,,59.2,,70.5,
4,Ireland,0.109,,23,,8,,9.7,,24.3,,90.2,,86.3,,53.0,,67.3,
5,Germany,0.072,,14,,6,,6.5,,31.5,,96.2,,96.8,,55.0,,66.2,
6,Iceland,0.062,,9,,3,,6.8,,38.1,,100.0,,100.0,,72.8,,81.8,
7,"Hong Kong, China (SAR)",..,,..,,..,,2.7,,..,,75.7,,81.8,,54.0,,68.1,
7,Sweden,0.044,,3,,4,,5.2,,43.6,,88.4,,88.7,,60.8,,67.4,
9,Singapore,0.067,,12,,10,,3.7,,23.0,,76.1,,82.9,,60.5,,76.8,
10,Netherlands,0.044,,3,,7,,4.0,,35.6,,86.4,,90.4,,58.0,,69.2,
11,Denmark,0.040,,2,,6,,4.1,,37.4,,90.1,,91.3,,59.2,,67.2,
12,Canada,0.092,,20,,7,,9.4,,30.1,,100.0,,100.0,,60.7,,69.8,
13,United States,0.189,,41,,14,,18.8,,19.7,,95.5,,95.2,,55.7,,68.3,
14,United Kingdom,0.116,,25,,9,,12.5,,28.5,,82.4,,85.2,,56.8,,68.1,
